Name,Description,engunits
11AEA10CE211XQ50_I_UTGB_PI09,UTE-TRI: corrente fase A gerador 11MKA : ponto GIS (subestação) : sistema ALSPA : ponto ONS IEC104 15,A
11AEA10CE604XQ50_I_UTGB_PI09,UTE-TRI: potência ativa instantânea TG 11MB - bruta : ponto GIS (subestação) : sistema ALSPA : ponto ONS IEC104 13,MW
11AEA10CE606XQ50_I_UTGB_PI09,UTE-TRI: potência reativa instantânea TG 11MB - bruta : ponto GIS (subestação) : sistema ALSPA : ponto ONS IEC104 14,MVAr
11AEA10CP201XG02_I_UTGB_PI09,UTE-TRI: status alarme baixa pressão gás de isolamento SF6 nível 1 disjuntor D6G11 após trafo elevador 11BAT10,none
11AEA10CP202XG04_I_UTGB_PI09,UTE-TRI: status alarme e proteção baixa pressão gás de isolamento SF6 nível 2 disjuntor D6G11 após trafo elevador 11BAT10,none
11AEA10EG202XG01_I_UTGB_PI09,UTE-TRI: status alarme falha de tensão CC disjuntor D6G11 após trafo elevador 11BAT10 (138 kV),none
11AEA10EG203XG01_I_UTGB_PI09,UTE-TRI: status alarme falha de tensão circuito 1 de comando (Q-50) disjuntor D6G11 após trafo elevador 11BAT10 (138 kV),none
11AEA10EG204XG01_I_UTGB_PI09,UTE-TRI: status alarme falha de tensão circuito 2 de comando (Q-50) disjuntor D6G11 após trafo elevador 11BAT10 (138 kV),none
11AEA10EW210XG01_I_UTGB_PI09,UTE-TRI: status proteção contra discrepância entre fases disjuntor D6G11 após trafo elevador 11BAT10 (138 kV) : ponto ONS IEC101 1003,none
11AEA10EZ101XG01_I_UTGB_PI09,UTE-TRI: status proteção relé diferencial 87LC/T modelo P632 trafo elevador 11BAT10,none
11AEA10EZ201XG01_I_UTGB_PI09,UTE-TRI: status proteção relé de sobrecorrente direcional e direcional de neutro 67/67N modelo P141 trafo elevador 11BAT10,none
11AEA10EZ202XG01_I_UTGB_PI09,UTE-TRI: status proteção relé de sobretensão 59 modelo P141 trafo elevador 11BAT10,none
11AEA10EZ203XG01_I_UTGB_PI09,UTE-TRI: status proteção relé de sobrecorrente instantâneo e instantâneo de neutro 50/50N modelo P141 trafo elevador 11BAT10,none
11AEA10EZ204XG01_I_UTGB_PI09,UTE-TRI: status proteção relé de subtensão 27 modelo P141 trafo elevador 11BAT10,none
11AEA10EZ205XG01_I_UTGB_PI09,UTE-TRI: status proteção relé contra falha 50/62BF modelo P141 disjuntor D6G11 após trafo elevador 11BAT10 : ponto ONS IEC101 1203,none
11AEA10EZ301XG01_I_UTGB_PI09,UTE-TRI: status proteção relé auxiliar de bloqueio 86L trafo elevador 11BAT10 : ponto ONS IEC101 1204,none
11AEA10GS100XB01_I_UTGB_PI09,UTE-TRI: posição disjuntor D6G11 após trafo elevador 11BAT10 : ponto ONS IEC104 1090,none
11AEA10GS201XB01_I_UTGB_PI09,UTE-TRI: posição chave seccionadora seletora S6G111 barramento 1 após trafo elevador 11BAT10 : ponto ONS IEC104 1104,none
11AEA10GS202XB01_I_UTGB_PI09,UTE-TRI: posição chave seccionadora seletora S6G112 barramento 2 após trafo elevador 11BAT10 : ponto ONS IEC104 1105,none
11AEA10GS601XB01_I_UTGB_PI09,UTE-TRI: posição chave seccionadora de aterramento e testes S6G114T na alimentação após trafo elevador 11BAT10,none
11AEA10GS603XB01_I_UTGB_PI09,UTE-TRI: posição chave seccionadora de aterramento S6G113T após trafo elevador 11BAT10,none
11BAT10CL001XG11_I_UTGB_PI09,UTE-TRI: status alarme nível óleo alto trafo elevador 11BAT10,none
11BAT10CL001XG12_I_UTGB_PI09,UTE-TRI: status alarme nível óleo baixo trafo elevador 11BAT10,none
11BAT10CP001XG11_I_UTGB_PI09,UTE-TRI: status proteção alívio de pressão transformador elevador 11BAT10,none
11BAT10CQ001XG11_I_UTGB_PI09,UTE-TRI: status alarme pressão de gás (Buchholz) 63T trafo elevador 11BAT10,none
11BAT10CT001XG11_I_UTGB_PI09,UTE-TRI: status alarme sobretemperatura oleo 26T trafo elevador 11BAT10 : ponto ONS IEC104 1162,none
11BAT10CT002XG11_I_UTGB_PI09,UTE-TRI: status alarme sobretemperatura enrolamento 49T trafo elevador 11BAT10 : ponto ONS IEC104 1161,none
11BAT10EW801XG01_I_UTGB_PI09,UTE-TRI: status proteção relé diferencial 87T trafo elevador 11BAT10,none
11BAT10EW802XG01_I_UTGB_PI09,UTE-TRI: status proteção relé de sobre-excitação 24 trafo elevador 11BAT10,none
11BAT10EW803XG01_I_UTGB_PI09,UTE-TRI: status proteção relé de sobrecorrente fase instantâneo e temporizado 50/51T trafo elevador 11BAT10,none
11BAT10EW804XG01_I_UTGB_PI09,"UTE-TRI: status proteção relé sobretemperatura óleo, enrolamento, buchholz e nível de óleo 26T 49T 63T 71T trafo elevador 11BAT10  ",none
11BAT10EW805XG01_I_UTGB_PI09,UTE-TRI: status proteção relé de sobrecorrente neutro instantâneo e temporizado 50/51T trafo elevador 11BAT10,none
11BAT10EW810XG01_I_UTGB_PI09,UTE-TRI: status proteção contra trip nível 1 trafo elevador 11BAT10,none
11BAT10EW811XG03_I_UTGB_PI09,UTE-TRI: status proteção contra trip nível 2 trafo elevador 11BAT10,none
11BBT00CE600XJ60_I_UTGB_PI09,UTE-TRI: potência ativa serviços auxiliares 11BBT,MW
